Time,UAV_X,UAV_Y,UAV_Z,UAV_quat_0,UAV_quat_1,UAV_quat_2,UAV_quat_3,UAV_v_bx,UAV_v_by,UAV_v_bz,UAV_w_bx,UAV_w_by,UAV_w_bz,Payload_X,Payload_Y,Payload_Z,Swing_Deg_X,Swing_Deg_Y,SwingVel_DegS_X,SwingVel_DegS_Y,Policy_a0,Policy_a1,Policy_a2,Policy_a3,Env_raw_a0,Env_raw_a1,Env_raw_a2,Env_raw_a3,Env_clamp_a0,Env_clamp_a1,Env_clamp_a2,Env_clamp_a3,Thrust_Cmd,Moment_Cmd_X,Moment_Cmd_Y,Moment_Cmd_Z
0.35,21.394901,-14.03969,1.2785941,0.8985489,-0.014509356,-0.019115228,0.43821666,-0.4614132,0.31100148,1.0401682,0.62105817,0.3616344,3.8499827,21.486593,-14.003491,0.48469117,-6.5814176,-2.5934205,-27.849539,-6.6823764,342.54044,256.53296,-535.55743,653.1877,342.54044,256.53296,-535.55743,653.1877,1.0,1.0,-1.0,1.0,33.524375915527344,0.4,-0.4,0.4
0.36666666666666664,21.385118,-14.042349,1.2973549,0.8847745,-0.012852368,-0.017621754,0.4655086,-0.44216764,0.3501472,1.1855928,0.18769053,-0.12789881,3.604163,21.482876,-14.0049095,0.5042335,-7.018896,-2.6823754,-26.24871,-5.337295,465.44748,-339.14844,-153.61432,-1810.6514,465.44748,-339.14844,-153.61432,-1810.6514,1.0,-1.0,-1.0,-1.0,33.524375915527344,-0.4,-0.4,-0.4
0.3833333333333333,21.375128,-14.044965,1.3185666,0.8712348,-0.01078934,-0.013012211,0.49057537,-0.43011004,0.39250565,1.327841,0.6158431,0.4517716,3.3596084,21.478527,-14.006603,0.52620506,-7.426203,-2.7484977,-24.438398,-3.9673374,424.46777,507.61066,74.875275,-4128.0225,424.46777,507.61066,74.875275,-4128.0225,1.0,1.0,1.0,-1.0,33.524375915527344,0.4,0.4,-0.4
0.4,21.364992,-14.047533,1.3422277,0.85641587,-0.009395933,-0.01092336,0.5160853,-0.40729067,0.42736942,1.4723339,0.18028937,-0.043426365,3.6000435,21.47351,-14.008567,0.5505805,-7.796107,-2.7918518,-22.19424,-2.6012418,408.21982,-858.2758,-329.42288,568.2361,408.21982,-858.2758,-329.42288,568.2361,1.0,-1.0,-1.0,1.0,33.524375915527344,-0.4,-0.4,0.4
0.4166666666666667,21.354733,-14.05005,1.3683382,0.84136575,-0.0042098262,-0.011495176,0.5403274,-0.3697552,0.46716547,1.6184738,0.6230575,-0.5552962,3.353689,21.467787,-14.0107975,0.57734036,-8.124112,-2.8123667,-19.680317,-1.2308978,377.50616,168.41293,-285.4738,-4681.4854,377.50616,168.41293,-285.4738,-4681.4854,1.0,1.0,-1.0,-1.0,33.524375915527344,0.4,-0.4,-0.4
0.43333333333333335,21.34438,-14.052589,1.3969052,0.8267962,-0.0017645151,-0.010680168,0.56239736,-0.34344262,0.4964234,1.7640747,0.22268814,0.041512296,3.1089132,21.461336,-14.013316,0.6064756,-8.406537,-2.8138714,-16.945494,-0.09027957,444.5155,-894.7636,325.309,-4385.7397,444.5155,-894.7636,325.309,-4385.7397,1.0,-1.0,1.0,-1.0,33.524375915527344,-0.4,0.4,-0.4
0.45,21.333958,-14.055161,1.4279245,0.8128068,-0.0009942742,-0.013443869,0.5823773,-0.30848202,0.51004094,1.9138224,-0.19093174,-0.4785295,2.8635182,21.45412,-14.01611,0.63796526,-8.638732,-2.7979376,-13.931693,0.95602506,473.56674,-702.7111,-338.2008,-1276.1467,473.56674,-702.7111,-338.2008,-1276.1467,1.0,-1.0,-1.0,-1.0,33.524375915527344,-0.4,-0.4,-0.4
0.4666666666666667,21.323452,-14.057786,1.4613962,0.799476,0.0040074806,-0.018618995,0.600396,-0.25739825,0.5301953,2.0639439,0.26811773,-1.0112613,2.6179795,21.446135,-14.019188,0.6718021,-8.821301,-2.7654562,-10.954169,1.9488858,607.95337,266.9874,-221.40129,-3883.6812,607.95337,266.9874,-221.40129,-3883.6812,1.0,1.0,-1.0,-1.0,33.524375915527344,0.4,-0.4,-0.4
0.48333333333333334,21.312841,-14.060556,1.4973228,0.7870318,0.0063944818,-0.0226538,0.6164632,-0.22098166,0.5396893,2.214137,-0.11620986,-0.43524066,2.3736417,21.437347,-14.022533,0.70798624,-8.953482,-2.724223,-7.9308124,2.4739978,636.35394,-497.68146,740.62115,-3721.16,636.35394,-497.68146,740.62115,-3721.16,1.0,-1.0,1.0,-1.0,33.524375915527344,-0.4,0.4,-0.4
0.5,21.302128,-14.063518,1.5356984,0.7754876,0.007567376,-0.030382682,0.63058585,-0.17491001,0.531914,2.367933,-0.51333237,-0.97124785,2.1292944,21.427753,-14.02614,0.7465086,-9.034666,-2.677931,-4.8710628,2.7775095,684.52344,-143.45572,-103.532486,-618.5555,684.52344,-143.45572,-103.532486,-618.5555,1.0,-1.0,-1.0,-1.0,33.524375915527344,-0.4,-0.4,-0.4
0.5166666666666666,21.291239,-14.066741,1.5765234,0.7650151,0.008896448,-0.03498366,0.6429998,-0.1449368,0.5340977,2.5189574,-0.055637717,-0.41687623,1.8856797,21.417341,-14.030004,0.7873793,-9.069247,-2.6320512,-2.0748708,2.7527902,596.02545,821.6092,836.0846,-2899.308,596.02545,821.6092,836.0846,-2899.308,1.0,1.0,1.0,-1.0,33.524375915527344,0.4,0.4,-0.4
0.5333333333333333,21.280157,-14.070281,1.6197945,0.7538521,0.0059494344,-0.037041828,0.65597206,-0.1384018,0.52612525,2.6701021,-0.46517053,0.14608201,2.1274438,21.4061,-14.03411,0.8305987,-9.057628,-2.5914376,0.697174,2.4368188,557.6171,-167.25998,738.95825,651.06805,557.6171,-167.25998,738.95825,651.06805,1.0,-1.0,1.0,1.0,33.524375915527344,-0.4,0.4,0.4
0.55,21.268852,-14.074131,1.6655109,0.7412649,0.0012198782,-0.03443088,0.67032784,-0.15502423,0.53076226,2.8180914,-0.044427097,0.7014723,2.369255,21.394041,-14.038457,0.87617236,-9.002992,-2.5558164,3.2781599,2.1372697,563.1386,155.43105,289.38742,581.4837,563.1386,155.43105,289.38742,581.4837,1.0,1.0,1.0,1.0,33.524375915527344,0.4,0.4,0.4
0.5666666666666667,21.257315,-14.078242,1.7136749,0.7271438,-0.008137052,-0.029648399,0.68579626,-0.19593167,0.5247499,2.9660063,-0.494501,1.2619668,2.6084158,21.381157,-14.043047,0.924103,-8.905359,-2.521495,5.857944,2.0592782,553.0303,-1466.7921,136.40869,777.3169,553.0303,-1466.7921,136.40869,777.3169,1.0,-1.0,1.0,1.0,33.524375915527344,-0.4,0.4,0.4
0.5833333333333334,21.245533,-14.082494,1.7642837,0.7111262,-0.018754631,-0.029159239,0.70220906,-0.21837723,0.49793804,3.117645,-0.96067566,0.70345306,2.8466644,21.367472,-14.047879,0.9743895,-8.767391,-2.4798596,8.278083,2.4981306,421.35245,-1235.7268,-66.97763,691.5074,421.35245,-1235.7268,-66.97763,691.5074,1.0,-1.0,-1.0,1.0,33.524375915527344,-0.4,-0.4,0.4
0.6,21.233435,-14.086817,1.8173378,0.6953674,-0.033489008,-0.029882293,0.7172515,-0.25797898,0.44844458,3.271548,-1.413883,1.2205496,2.5978026,21.352997,-14.052954,1.027048,-8.595211,-2.4259884,10.33081,3.232269,138.54419,-544.46484,179.82845,-4953.12,138.54419,-544.46484,179.82845,-4953.12,1.0,-1.0,1.0,-1.0,33.524375915527344,-0.4,0.4,-0.4
